	Учебный план

	Наименование	УП очного специалитета по 24.05.06 "Навигационные системы и инерциальные датчики систем управления летательных аппаратов"  (каф. 305)	
	Учебный график		Угр очного специалитета 24.05.06 "Системы управления летательными аппаратами" 5 лет (практика - в)
			
Наименование	Кафедра	Трудоемкость			Зачетные единицы по семестрам																																																		Экзамены по семестрам																																								Курсовые по семестрам																																								Недельная АЗ по семестрам (часов в неделю)																																																		АЗ/ЛК/ПЗ/ЛР по семестрам (часов)																																																																																																																								СРС по семестрам (часов)																																																		Сумма за период обучения																				
		ЗЕ	Часы	Без экз.	1					2					3					4					5					6					7					8					9					10					1				2				3				4				5				6				7				8				9				10				1				2				3				4				5				6				7				8				9				10				1					2					3					4					5					6					7					8					9					10					1												2												3												4												5												6												7												8												9												10												1					2					3					4					5					6					7					8					9					10					АЗП					СРС					Доля АЗП %										
      Системы аналитических вычислений	305																																																																																																																																																																																																																																																																																																																																																																																						
Элементы приборов и систем ориентации и навигации	305	4,0	144	108																					2					2																																									Зо				Э																																								КР																																								2					2																																																																									36/18/6/12												34/18/0/16																																																																																36					2																									70					38					48,6										
      Физико-теоретические основы элементов и систем управления движением	305																																																																																																																																																																																																																																																																																																																																																																																						
Теория случайных процессов	305	2,0	72	72																					2																																														Зч																																																																																				2																																																																														36/16/0/20																																																																																												36																														36					36					50										
      Случайные процессы и статистические технологии	305																																																																																																																																																																																																																																																																																																																																																																																						
Гироскопические стабилизаторы	305	3,0	108	72																															3																																												Э																																								КР																																														3																																																																																												54/34/0/20																																																																														18																				54					18					50										
      Гироскопические системы ориентации	305																																																																																																																																																																																																																																																																																																																																																																																						
Надежность и техническая диагностика приборов	305	3,0	108	72																																									3																																										Э																																								КР																																																3																																																																																																										54/34/20/0																																																																18										54					18					50										
      Техническая эксплуатация сложных систем	305																																																																																																																																																																																																																																																																																																																																																																																						
Блок 2 Практики		40,0	1 440	1 440						6										6										6										6										16																																																																																																																																																																																																																																																																				216										216										216										216										576										1 440															
Учебные практики		6,0	216	216						6																																																																																																																																																																																																																																																																																																												216																																																		216															
Учебная практика	305	6,0	216	216						6																																																	Зо																																																																																																																																																																																																																																																											216																																																		216															
Производственные практики		34,0	1 224	1 224																6										6										6										16																																																																																																																																																																																																																																																																														216										216										216										576										1 224															
Производственная практика	305	6,0	216	216																6																																															Зо																																																																																																																																																																																																																																																													216																																								216															
Производственно-технологическая практика	307	6,0	216	216																										6																																													Зо																																																																																																																																																																																																																																																															216																														216															
Эксплуатационная практика	305	6,0	216	216																																				6																																											Зо																																																																																																																																																																																																																																																																	216																				216															
Преддипломная практика	305	16,0	576	576																																														16																																									Зо																																																																																																																																																																																																																																																																			576										576															
Блок 3 ГИА		9,0	324	324																																														9																																																																																																																																		20																																																																																																																																																																										324										324															
Итоговая гос. аттестация		9,0	324	324																																														9																																																																																																																																		20																																																																																																																																																																										324										324															
Итого, зачетных единиц		300,0			27					33					27					33					27					33					27					33					30					30																																																																																																																																																																																																																																																																																																																																					
Итого зачетных единиц за учебный год										60										60										60										60										60																																																																																																																																																																																																																																																																																																																																					
Итого зачетных единиц за весь срок обучения																																																		300																																																																																																																																																																																																																																																																																																																																					
Итого, штук																																																							3				4				4				5				3				4				4				4				5				1								2				2				2				2				2				2				2				2				1																																																																																																																																																																																																																																																				
Итого по семестрам с физкультурой, часов			11 128	9 796																																																																																																																																			30					32					32					30					30,9					28					27					27					30					7																																																																																																																													396					570					324					570					378					552					342					590					360					954					4 760					5 036					44,1										
Итого по семестрам без физкультуры, часов			11 128	9 796																																																																																																																																			26					28					28					26					27					25					27					27					30					7																																																																																																																																																																																																			
Семестровая нагрузка с физкультурой без экз., часов																																																																																																																																																																																																																																																																																																																	936					1 112					900					1 076					934					1 022					828					1 044					900					1 044																									
Семестровая нагрузка без физкультуры без экз., часов																																																																																																																																																																																																																																																																																																																	864					1 044					828					1 008					864					972					828					1 044					900					720																									
Недельная полная нагрузка с физкульт., с экз.,час/нед																																																																																																																																							49,7					52,3					49,7					52,3					49,6					48,6					46,3					49,5					51,4					51,4																																																																																																																																																																																																			
          резерв учебного года																																																																																																																																																																																																																																																																																																																																																																																							
          резерв семестра																																																		8																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																																																																																							
Среднее часов АЗП в неделю по семестр + сессиям:						23,8					Среднее часов всего в неделю по семестр + сессиям:																																																49																																																																																																																																																																																																																																																																																																																												
Среднее часов АЗП в неделю по неделям только семестров:						27,8					Среднее часов всего в неделю по неделям только семестров:																																																57,3																																																																																																																																																																																																																																																																																																																												
Среднее часов АЗП в неделю по неделям только семестров без ф-ры:						25,5					Процент лекций от АЗ:																																																47,06																																																																																																																																																																																																																																																																																																																												
